Time,True,Prediction,L_10,U_90,IntervalScore,var_ale,var_epi,var_total
2016-06-18 00:00:00,0.273680000383333,0.323226485710529,0.0682478847890983,0.578205086631959,0.509957201842861,0.0218719634929384,0.0177104681214004,0.0395824316143388
2016-06-18 01:00:00,0.2604805557,0.333884041486739,0.0787240161022439,0.589044066871234,0.51032005076899,0.0215006091184139,0.0181381705674667,0.0396387796858807
2016-06-18 02:00:00,0.23449888905,0.342524001876555,0.0870404997385679,0.598007504014541,0.510967004275973,0.0215707547452311,0.0181685920367171,0.0397393467819482
2016-06-18 03:00:00,0.2692852782,0.333665030493966,0.0790026792877367,0.588327381700194,0.509324702412458,0.0209527907624664,0.0185315136389235,0.0394843044013899
2016-06-18 04:00:00,0.2879869447,0.334497454891668,0.0806255859471072,0.58836932383623,0.507743737889122,0.0207775478404109,0.0184620152319637,0.0392395630723746
2016-06-18 05:00:00,0.2425030559,0.349043273354597,0.0957205533000254,0.602365993409169,0.506645440109143,0.0211595136266752,0.0179104752662508,0.039069988892926
2016-06-18 06:00:00,0.234991666766667,0.327785363849715,0.0756728186763087,0.579897909023122,0.504225090346814,0.022014465486111,0.0166831242602162,0.0386975897463271
2016-06-18 07:00:00,0.352158333733333,0.308775463596778,0.0661248024244276,0.551426124769128,0.4853013223447,0.0186668239929064,0.0171806006571211,0.0358474246500275
2016-06-18 08:00:00,0.548782500333333,0.36222212836196,0.126326895323997,0.598117361399922,0.471790466075926,0.0186386242623223,0.0152405902010589,0.0338792144633812
2016-06-18 09:00:00,0.2968188889,0.491839132072284,0.252681652798858,0.730996611345711,0.478314958546854,0.0192132251248059,0.0156095146238485,0.0348227397486544
2016-06-18 10:00:00,0.5165991666,0.399428785080211,0.155568115626337,0.643289454534085,0.487721338907747,0.0212387133473049,0.0149671181552149,0.0362058315025198
2016-06-18 11:00:00,0.846276666733333,0.455257270622959,0.209512431941285,0.701002109304634,1.94423525165034,0.0218410602816886,0.0149264153249154,0.0367674756066039
2016-06-18 12:00:00,0.681395277916667,0.627534931512702,0.3786926473774,0.876377215648005,0.497684568270605,0.0254505007903684,0.0122496737374405,0.0377001745278088
2016-06-18 13:00:00,0.472323333516667,0.681643803968374,0.444102874883609,0.919184733053138,0.475081858169529,0.0237808333358782,0.0105727389378492,0.0343535722737274
2016-06-18 14:00:00,0.32084333335,0.618093738888562,0.375245634533941,0.860941843243183,1.02971922054865,0.025558263599423,0.0103475223932495,0.0359057859926725
2016-06-18 15:00:00,0.724204166633333,0.506132619609973,0.266052655974334,0.746212583245612,0.480159927271278,0.0234137778948239,0.0116781182827227,0.0350918961775466
2016-06-18 16:00:00,0.6441055556,0.565160773918564,0.331960845608602,0.798360702228526,0.466399856619923,0.0239514557328934,0.00915798368346216,0.0331094394163555
2016-06-18 17:00:00,0.948498333233333,0.576934804534365,0.343988391293909,0.809881217774822,1.85206398106602,0.024437489571152,0.00860000145812082,0.0330374910292728
2016-06-18 18:00:00,1.05528611088333,0.681482938202752,0.442933093453846,0.920032782951659,1.82963296881452,0.0262985541115733,0.00834746008628843,0.0346460141978618
2016-06-18 19:00:00,0.632604999866667,0.843019754243081,0.59671218329871,1.08932732518745,0.492615141888741,0.0276404488132437,0.00929560762050814,0.0369360564337518
2016-06-18 20:00:00,0.62476611115,0.766940604186948,0.520765644774811,1.01311556359908,0.492349918824274,0.0271692475290488,0.00972704700503427,0.0368962945340831
2016-06-18 21:00:00,0.707660833466667,0.707359289032604,0.458646776122336,0.956071801942872,0.497425025820537,0.0285033150064249,0.0091575485002928,0.0376608635067177
2016-06-18 22:00:00,0.658956389183333,0.712672809702951,0.488615968738646,0.936729650667255,0.448113681928609,0.0232947692197281,0.00726931723091911,0.0305640864506473
2016-06-18 23:00:00,0.5414263889,0.681428889715305,0.457386365742083,0.905471413688527,0.448085047946444,0.0232805850107106,0.00727959554024938,0.03056018055096
