Time,True,Prediction,L_10,U_90,IntervalScore,var_ale,var_epi,var_total
2016-06-18 00:00:00,0.14436249965,0.153010297891277,0.119398081032023,0.18662251475053,0.0672244337185068,0.000352605354890985,0.000335237636090681,0.000687842990981666
2016-06-18 01:00:00,0.135673333216667,0.140510898728198,0.109447228647436,0.171574568808959,0.0621273401615229,0.000291639931489646,0.000295850141491846,0.000587490072981491
2016-06-18 02:00:00,0.120183333216667,0.127922736099522,0.0969473286930245,0.158898143506019,0.0619508148129941,0.000285002095455347,0.000299154193849694,0.000584156289305041
2016-06-18 03:00:00,0.127767221766667,0.112796605541417,0.0826328696677653,0.142960341415068,0.0603274717473026,0.000267644375652733,0.000286298856940053,0.000553943232592786
2016-06-18 04:00:00,0.1207633331,0.113367152721102,0.0829255724935535,0.14380873294865,0.0608831604550969,0.000275076255758585,0.000289118946184403,0.000564195201942988
2016-06-18 05:00:00,0.129513610833333,0.113143130373,0.0826264258716508,0.143659834874348,0.0610334090026975,0.000274962802999248,0.000292020496896393,0.000566983299895641
2016-06-18 06:00:00,0.11310722215,0.122358406360305,0.0915461228389568,0.153170689881652,0.0616245670426957,0.000277781656661555,0.000300238220445627,0.000578019877107182
2016-06-18 07:00:00,0.0784411107166667,0.114737205448709,0.0855929807952458,0.143881430102172,0.129807150092717,0.000249458411105124,0.00026767192394462,0.000517130335049744
2016-06-18 08:00:00,0.0792047218833333,0.0609086397556658,0.032047408246874,0.0897698712644577,0.0577224630175837,0.000116599167969169,0.00039053715743746,0.000507136325406629
2016-06-18 09:00:00,0,0.0630107316953196,0.0392359249925432,0.086785538398096,0.439908863330985,0.00012413774695479,0.000219997369823871,0.000344135116778661
2016-06-18 10:00:00,0,0,0,0.0285957738910726,0.0285957738910726,0.00017225497944172,0.000325595249680762,0.000497850229122482
2016-06-18 11:00:00,0.143717499883333,0,0,0.0285795787966525,1.17995878966346,0.00018293338896621,0.000314353089138262,0.000497286478104472
2016-06-18 12:00:00,0.170004444316667,0.186279864526132,0.142811912737848,0.229747816314417,0.0869359035765682,1.00065585521413e-06,0.00114935824167015,0.00115035889752536
2016-06-18 13:00:00,0.102389999816667,0.108900548958121,0.0665011320562467,0.151299965859995,0.0847988338037483,1.00001958387581e-06,0.00109349747185924,0.00109449749144312
2016-06-18 14:00:00,0,0.0795209169973536,0.0371864679092084,0.121855366085499,0.456533577268375,1.00002116033245e-06,0.00109014588498692,0.00109114590614725
2016-06-18 15:00:00,0,0,0,0.0450889625732611,0.0450889625732611,1.00003395048452e-06,0.0012367572435554,0.00123775727750589
2016-06-18 16:00:00,0,0.0662735096977621,0.0208929510847795,0.111654068310745,0.29969062807376,1.00003447712261e-06,0.00125281847725804,0.00125381851173516
2016-06-18 17:00:00,0.0184080556499999,0.0488821959654911,0,0.113433881801441,0.113433881801441,0.00207588195252854,0.000461057954598755,0.00253693990712729
2016-06-18 18:00:00,0.0802777779833335,0.0353296489410098,0,0.0983876105396086,0.0983876105396086,0.00197013250636769,0.000450756386813664,0.00242088889318135
2016-06-18 19:00:00,0.16913055565,0.0478958569953819,0,0.111407945959057,0.688634042868491,0.00203405487772426,0.000421828824560216,0.00245588370228448
2016-06-18 20:00:00,0.176503055516667,0.0818621266964349,0.0112698876584989,0.152454365734371,0.381671375898834,0.00260941269431147,0.000424540779832877,0.00303395347414435
2016-06-18 21:00:00,0.36148777765,0.136318774042622,0.0884509599278671,0.184186588157377,1.86874752315574,0.000111831102724556,0.00128319455143779,0.00139502565416235
2016-06-18 22:00:00,0.192940833016667,0.34212892372951,0.267874084738062,0.416383762720959,0.897842195196844,0.000707456920686453,0.00264949038381893,0.00335694730450538
2016-06-18 23:00:00,0.240205833266667,0.1527819743013,0.0724509269996079,0.233113021602993,0.231590211240127,0.00147217986912803,0.0024566376761286,0.00392881754525663
